EST;Peso10dias;PesoPupa;AdultoTempo;Pupatempo;TempoDesenvolvimento
X688_arroz_1;321.4363636;202.125;15.25;23.55;38.8
X688_arroz_2;352.0090909;202.13;15.25;23.55;38.8
X688_arroz_3;288.2909091;202.13;15.25;23.55;38.8
X688_milho_1;272.6166667;167.87;22.71;14.15;36.86
X688_milho_2;279.525;167.87;22.71;14.15;36.86
X688_milho_3;296.7416667;167.87;22.71;14.15;36.86
CNPA_arroz_1;30.81666667;182.8909091;24.47826087;31.55;56.02826087
CNPA_arroz_2;32.45833333;182.89;24.48;31.55;56.03
CNPA_arroz_3;49.78333333;182.89;24.48;31.55;56.03
CNPA_milho_1;42.11818182;164.68;37;27.71;64.71
CNPA_milho_2;36.04;164.68;37;27.71;64.71
CNPA_milho_3;53.48333333;164.68;37;27.71;64.71
dieta_arroz_1;100.7333333;226.4166667;20.76666667;29.08;49.84666667
dieta_arroz_2;63.60833333;226.42;20.77;29.08;49.85
dieta_arroz_3;47.7;226.42;20.77;29.08;49.85
dieta_milho_1;142.4;245.64;28.21052632;18.68493151;46.89545782
dieta_milho_2;166.3833333;245.64;28.21;18.68;46.89
dieta_milho_3;180.3;245.64;28.21;18.68;46.89
fm993_arroz_1;29.15833333;144.1444444;26;33.875;59.875
fm993_arroz_2;22.8;144.14;26;33.88;59.88
fm993_arroz_3;37.24545455;144.14;26;33.88;59.88
fm993_milho_1;39.58333333;137.37;36.71428571;28.40625;65.12053571
fm993_milho_2;32.84166667;137.37;36.71;28.41;65.12
fm993_milho_3;47.775;137.37;36.71;28.41;65.12
puita_arroz_1;67.1;114.575;23.625;31.5;55.125
puita_arroz_2;74.32727273;114.58;23.63;31.5;55.13
puita_arroz_3;71.26363636;114.58;23.63;31.5;55.13
puita_milho_1;110.25;128.04;28.77;20.94;49.71
puita_milho_2;94.70833333;128.04;28.77;20.94;49.71
puita_milho_3;83.52;128.04;28.77;20.94;49.71
